scaled_sentiment,created_utc
-0.0,2022-06-04 10:26:41+00:00
0.0,2022-06-06 15:04:04+00:00
0.0,2022-06-06 18:21:58+00:00
0.0,2022-06-06 18:45:58+00:00
-4.417422071099281,2022-06-06 21:11:17+00:00
0.0,2022-06-06 22:11:06+00:00
0.0,2022-06-07 13:28:55+00:00
-3.4128253161907196,2022-06-08 15:53:38+00:00
0.0,2022-06-08 18:12:36+00:00
0.0,2022-06-09 13:06:03+00:00
0.0,2022-06-09 19:29:49+00:00
0.0,2022-06-09 19:51:42+00:00
3.8415090199559927,2022-06-10 02:18:45+00:00
0.0,2022-06-12 01:11:19+00:00
-12.274531289935112,2022-06-13 14:10:48+00:00
-0.0,2022-06-13 14:55:26+00:00
-3.798561815172434,2022-06-13 20:12:13+00:00
0.0,2022-06-13 20:45:13+00:00
-3.632192976772785,2022-06-14 03:34:11+00:00
0.0,2022-06-14 08:20:52+00:00
0.0,2022-06-15 00:11:13+00:00
0.0,2022-06-15 14:52:13+00:00
-16.330391792580485,2022-06-16 12:43:12+00:00
-0.0,2022-06-16 13:44:27+00:00
0.0,2022-06-16 20:56:29+00:00
-11.263844836503267,2022-06-17 15:19:28+00:00
-632.8002462759614,2022-06-18 15:55:04+00:00
-0.0,2022-06-20 01:27:37+00:00
0.0,2022-06-20 05:40:38+00:00
0.0,2022-06-20 19:58:42+00:00
8.623080253601074,2022-06-21 13:02:18+00:00
0.0,2022-06-22 15:37:43+00:00
0.0,2022-06-23 21:54:18+00:00
-10.074798928573728,2022-06-24 19:00:17+00:00
0.0,2022-06-25 03:29:55+00:00
0.0,2022-06-26 02:01:56+00:00
-3.7202784717082977,2022-06-28 03:56:26+00:00
-155.6092203706503,2022-06-28 12:57:12+00:00
-63.40729436278343,2022-06-28 16:48:53+00:00
-0.0,2022-06-28 19:11:21+00:00
0.0,2022-06-29 00:32:41+00:00
0.0,2022-06-29 13:04:15+00:00
0.0,2022-07-02 03:33:34+00:00
0.0,2022-07-02 19:04:54+00:00
0.0,2022-07-02 23:53:45+00:00
0.0,2022-07-03 18:01:35+00:00
0.0,2022-07-03 20:09:20+00:00
0.0,2022-07-04 02:10:57+00:00
0.0,2022-07-04 06:30:36+00:00
0.0,2022-07-04 22:00:11+00:00
0.0,2022-07-06 02:29:41+00:00
-20.399749502539635,2022-07-06 11:57:33+00:00
0.0,2022-07-07 15:12:31+00:00
-41.93971360102296,2022-07-07 19:11:49+00:00
0.0,2022-07-11 16:44:37+00:00
0.0,2022-07-11 20:01:53+00:00
-3.8855257630348206,2022-07-11 23:17:54+00:00
0.899550274014473,2022-07-13 16:31:42+00:00
0.0,2022-07-14 18:31:18+00:00
0.0,2022-07-17 11:46:59+00:00
-0.0,2022-07-18 16:21:59+00:00
0.0,2022-07-21 14:30:28+00:00
0.0,2022-07-22 04:12:05+00:00
